StatNam;StatNr;praef;Fangradius;DEN;WTC;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Rodgau;205;1000;2500;N;L;0;13;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;2500;N;M;181;1193;15%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.811938157269s
Rodgau;205;1000;2500;N;NA;13;59;22%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;3000;D;H;294;445;66%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.349348679307s
Rodgau;205;1000;3000;D;L;1;10;10%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;3000;D;M;333;1361;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.566295267697s
Rodgau;205;1000;3000;D;NA;17;24;71%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.9974163950943s
Rodgau;205;1000;3000;E;H;117;197;59%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.8536241868862s
Rodgau;205;1000;3000;E;L;1;4;25%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;3000;E;M;97;461;21%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.7802746949335s
Rodgau;205;1000;3000;E;NA;6;25;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;3000;N;H;126;394;32%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8932072964916s
Rodgau;205;1000;3000;N;L;0;17;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;3000;N;M;181;1294;14%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.811938157269s
Rodgau;205;1000;3000;N;NA;13;63;21%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;3500;D;H;295;450;66%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.4005545715289s
Rodgau;205;1000;3500;D;L;1;10;10%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;3500;D;M;334;1377;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.6084724461851s
Rodgau;205;1000;3500;D;NA;17;25;68%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;22.9974163950943s
Rodgau;205;1000;3500;E;H;117;200;58%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.8536241868862s
Rodgau;205;1000;3500;E;L;1;5;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;3500;E;M;98;468;21%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.7947021532603s
Rodgau;205;1000;3500;E;NA;6;25;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;3500;N;H;126;402;31%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8932072964916s
Rodgau;205;1000;3500;N;L;0;18;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;3500;N;M;181;1327;14%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.811938157269s
Rodgau;205;1000;3500;N;NA;13;66;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Rodgau;205;1000;4000;D;H;295;458;64%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;36.4005545715289s
Rodgau;205;1000;4000;D;L;1;10;10%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;3.76033304631152s
Rodgau;205;1000;4000;D;M;336;1415;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;31.6952426268823s
Rodgau;205;1000;4000;D;NA;18;26;69%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;4017600;23.0547233691043s
Rodgau;205;1000;4000;E;H;117;204;57%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;37.8536241868862s
Rodgau;205;1000;4000;E;L;1;5;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;16.5415455935082s
Rodgau;205;1000;4000;E;M;99;481;21%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;31.826902285403s
Rodgau;205;1000;4000;E;NA;6;25;24%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;1339200;22.4054611369879s
Rodgau;205;1000;4000;N;H;126;435;29%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;34.8932072964916s
Rodgau;205;1000;4000;N;L;0;21;0%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;-Infs (~-Inf years)
Rodgau;205;1000;4000;N;M;181;1461;12%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;32.811938157269s
Rodgau;205;1000;4000;N;NA;13;66;20%;2023-05-01T07:00:44Z;2023-07-31T23:22:56Z;2678400;24.0515692501739s
Wiesbaden/Erbenheim;218;1500;500;D;H;79;95;83%;2023-05-01T06:28:29Z;2023-07-31T22:55:08Z;4017600;32.0124009487667s
Wiesbaden/Erbenheim;218;1500;500;D;L;0;1;0%;2023-05-01T06:28:29Z;2023-07-31T22:55:08Z;4017600;-Infs (~-Inf years)
