StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Rodgau;205;1000;2500;E;heavy;125;326;38%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8870740395621s
Rodgau;205;1000;2500;E;nicht heavy;95;534;18%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.5535441764022s
Rodgau;205;1000;2500;N;Alle Gewichtsklassen;184;668;28%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5383056121462s
Rodgau;205;1000;2500;N;heavy;45;103;44%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.6800022464155s
Rodgau;205;1000;2500;N;nicht heavy;139;565;25%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2371694381991s
Rodgau;205;1000;3000;D;Alle Gewichtsklassen;781;2706;29%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.833527148405s
Rodgau;205;1000;3000;D;heavy;366;600;61%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5329764002948s
Rodgau;205;1000;3000;D;nicht heavy;415;2106;20%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.9628973615277s
Rodgau;205;1000;3000;E;Alle Gewichtsklassen;220;909;24%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;39.0025594812602s
Rodgau;205;1000;3000;E;heavy;125;329;38%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8870740395621s
Rodgau;205;1000;3000;E;nicht heavy;95;580;16%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.5535441764022s
Rodgau;205;1000;3000;N;Alle Gewichtsklassen;185;680;27%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5410893878415s
Rodgau;205;1000;3000;N;heavy;46;107;43%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.686767210254s
Rodgau;205;1000;3000;N;nicht heavy;139;573;24%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2371694381991s
Rodgau;205;1000;3500;D;Alle Gewichtsklassen;783;2759;28%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.8707923558375s
Rodgau;205;1000;3500;D;heavy;367;610;60%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5724439554801s
Rodgau;205;1000;3500;D;nicht heavy;416;2149;19%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;32.9938483506374s
Rodgau;205;1000;3500;E;Alle Gewichtsklassen;221;926;24%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;39.0053279499293s
Rodgau;205;1000;3500;E;heavy;125;333;38%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8870740395621s
Rodgau;205;1000;3500;E;nicht heavy;96;593;16%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.5657528644467s
Rodgau;205;1000;3500;N;Alle Gewichtsklassen;185;688;27%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5410893878415s
Rodgau;205;1000;3500;N;heavy;46;109;42%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.686767210254s
Rodgau;205;1000;3500;N;nicht heavy;139;579;24%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2371694381991s
Rodgau;205;1000;4000;D;Alle Gewichtsklassen;786;2934;27%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;38.8889036482404s
Rodgau;205;1000;4000;D;heavy;367;641;57%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;37.5724439554801s
Rodgau;205;1000;4000;D;nicht heavy;419;2293;18%;2023-05-01 07:00:44;2023-07-31 23:22:56;3974400;33.063520857896s
Rodgau;205;1000;4000;E;Alle Gewichtsklassen;222;962;23%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;39.0115336513303s
Rodgau;205;1000;4000;E;heavy;125;338;37%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;37.8870740395621s
Rodgau;205;1000;4000;E;nicht heavy;97;624;16%;2023-05-01 07:00:44;2023-07-31 23:22:56;1324800;32.5930234499647s
Rodgau;205;1000;4000;N;Alle Gewichtsklassen;185;711;26%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;34.5410893878415s
Rodgau;205;1000;4000;N;heavy;46;118;39%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;30.686767210254s
Rodgau;205;1000;4000;N;nicht heavy;139;593;23%;2023-05-01 07:00:44;2023-07-31 23:22:56;2649600;32.2371694381991s
Wiesbaden/Erbenheim;218;1500;500;D;Alle Gewichtsklassen;107;229;47%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;32.750624191513s
Wiesbaden/Erbenheim;218;1500;500;D;heavy;89;122;73%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;32.6407597894703s
Wiesbaden/Erbenheim;218;1500;500;D;nicht heavy;18;107;17%;2023-05-01 06:28:29;2023-07-31 22:55:08;3974400;16.7265346427919s
Wiesbaden/Erbenheim;218;1500;500;E;Alle Gewichtsklassen;65;100;65%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;36.1178285616811s
Wiesbaden/Erbenheim;218;1500;500;E;heavy;56;61;92%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;35.9109690342244s
Wiesbaden/Erbenheim;218;1500;500;E;nicht heavy;9;39;23%;2023-05-01 06:28:29;2023-07-31 22:55:08;1324800;22.7937214998163s
Wiesbaden/Erbenheim;218;1500;500;N;Alle Gewichtsklassen;19;30;63%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;26.2693253871633s
Wiesbaden/Erbenheim;218;1500;500;N;heavy;14;16;88%;2023-05-01 06:28:29;2023-07-31 22:55:08;2649600;25.8645209091208s
